census_tract,assoc_degree,bach_degree,grad_or_pro_degree,hs_diploma_or_ged,less_than_9th,some_college,some_hs
220500,2.44%,40.30%,22.00%,9.37%,0.0009,5.93%,1.59%
220601,7.74%,26.30%,17.00%,13.60%,0.0182,12.90%,4.65%
220602,2.39%,29.30%,11.40%,14.80%,0.0233,12.00%,4.49%
220701,4.24%,19.30%,9.08%,28.00%,0.0497,10.90%,4.66%
220702,6.91%,15.90%,5.01%,19.10%,0.1443,8.13%,4.96%
220901,6.27%,12.40%,2.68%,20.70%,0.1108,16.00%,5.04%
220902,3.72%,8.57%,5.98%,27.80%,0.048,14.20%,7.76%
221000,7.15%,22.00%,11.60%,19.70%,0.0781,12.10%,2.50%
221100,2.84%,23.00%,9.86%,15.70%,0.0443,11.60%,3.43%
221200,6.43%,29.90%,19.80%,13.30%,0.0085,5.91%,3.56%
221300,2.92%,29.40%,15.70%,6.92%,0.0753,12.90%,2.72%
221400,5.47%,31.80%,16.10%,13.60%,0.0326,10.60%,3.01%
221500,9.42%,31.50%,14.00%,9.17%,0.0647,8.71%,1.22%
221600,4.83%,39.00%,31.80%,6.00%,0.0024,4.34%,0.00%
222200,1.49%,44.80%,32.00%,3.04%,0.0074,5.95%,0.11%
222500,4.29%,21.50%,10.50%,22.70%,0.0644,7.63%,3.71%
222600,8.20%,34.00%,12.80%,8.52%,0.0379,14.10%,5.11%
222700,5.00%,20.40%,8.30%,23.50%,0.043,11.40%,6.15%
222800,8.16%,17.30%,7.01%,26.30%,0.0859,4.01%,5.87%
222900,10.90%,4.80%,5.07%,21.80%,0.0706,10.70%,1.41%
230100,3.77%,19.10%,7.93%,19.90%,0.04,17.30%,6.77%
230200,5.42%,9.88%,1.10%,21.30%,0.0865,15.80%,12.50%
230300,4.15%,9.34%,3.68%,23.40%,0.1868,13.20%,7.51%
230400,3.14%,9.44%,4.05%,16.90%,0.1372,15.60%,7.47%
230500,5.40%,7.19%,0.63%,20.60%,0.1692,10.20%,12.30%
230600,5.36%,5.87%,2.06%,25.10%,0.1099,11.80%,8.51%
230700,3.56%,6.47%,2.99%,27.90%,0.0992,11.10%,12.50%
230800,4.36%,6.24%,5.95%,19.60%,0.0644,18.30%,6.44%
230900,4.33%,17.20%,7.37%,22.20%,0.0589,16.20%,4.79%
231100,1.81%,4.36%,4.25%,27.70%,0.0468,16.10%,8.82%
231200,4.32%,6.59%,1.57%,13.10%,0.1307,16.70%,12.30%
231500,4.40%,1.95%,1.27%,24.60%,0.053,18.20%,11.50%
240200,0.87%,48.60%,22.00%,9.05%,0.0175,4.30%,0.29%
240300,3.32%,42.40%,30.00%,4.36%,0.0146,4.85%,0.68%
240500,1.80%,46.80%,38.40%,4.00%,0,3.10%,0.00%
240600,3.96%,30.20%,22.60%,14.90%,0.0364,4.27%,1.01%
240700,7.24%,23.90%,17.60%,13.40%,0.0475,6.54%,3.98%
240800,4.18%,19.00%,12.40%,16.10%,0.0369,16.90%,9.16%
240900,7.35%,19.40%,17.30%,11.50%,0.0403,15.20%,3.90%
241000,6.12%,23.60%,11.90%,9.05%,0.0527,12.40%,4.97%
241100,4.73%,38.20%,11.50%,16.00%,0.0181,11.00%,1.44%
241200,4.77%,33.60%,23.40%,3.27%,0.0259,7.12%,1.18%
241300,2.16%,39.20%,25.70%,7.13%,0.0124,4.84%,0.87%
241400,1.93%,46.40%,24.70%,2.61%,0.0087,6.45%,0.88%
241500,2.03%,48.60%,30.90%,4.38%,0.0226,6.90%,0.08%
241600,2.80%,41.90%,20.10%,3.96%,0.0452,7.78%,1.63%
242000,2.35%,33.80%,13.40%,6.49%,0.0576,12.60%,4.64%
242100,1.91%,45.10%,25.30%,8.32%,0.0176,3.94%,0.78%
242200,1.89%,37.00%,33.70%,4.13%,0,6.53%,1.45%
242300,2.76%,49.10%,23.20%,6.22%,0.0176,7.16%,0.04%
242400,4.26%,32.60%,22.50%,5.23%,0.0259,12.10%,0.67%
242500,3.03%,34.20%,15.90%,7.06%,0.0503,13.20%,2.50%
242600,3.46%,30.10%,14.80%,13.50%,0.0369,13.30%,4.32%
242700,3.65%,25.50%,9.17%,16.10%,0.0343,19.00%,4.77%
242800,7.50%,20.90%,21.90%,14.30%,0.015,13.40%,1.67%
242900,5.21%,30.90%,20.90%,14.00%,0.0362,12.40%,1.45%
243000,6.97%,24.50%,19.60%,12.00%,0.0658,11.70%,2.92%
243100,0.72%,36.00%,20.20%,7.48%,0.0844,8.00%,3.16%
243200,1.25%,43.70%,17.50%,7.64%,0.0109,11.30%,2.83%
243300,2.14%,35.30%,20.50%,12.70%,0.0366,9.95%,1.52%
243400,3.15%,29.80%,28.40%,7.38%,0.0168,12.30%,4.23%
243500,2.46%,42.00%,27.90%,6.38%,0,9.62%,1.09%
250200,5.31%,5.73%,4.25%,25.40%,0.0981,10.10%,10.50%
250300,2.75%,12.40%,3.49%,24.40%,0.041,13.00%,10.10%
250400,4.19%,6.63%,2.47%,19.30%,0.0408,27.00%,5.59%
250500,4.93%,16.70%,15.10%,17.60%,0.0225,14.80%,3.77%
250600,5.73%,5.59%,4.99%,24.00%,0.0332,16.60%,6.71%
250700,10.20%,5.90%,2.76%,28.40%,0.0181,21.20%,5.01%
250800,6.77%,3.29%,3.11%,31.20%,0.0394,15.50%,5.12%
251000,1.79%,1.63%,5.20%,36.00%,0,14.90%,3.87%
251100,2.62%,3.84%,1.08%,28.50%,0.0252,14.10%,9.41%
251200,4.14%,6.12%,2.16%,23.40%,0.0279,15.60%,10.10%
251300,3.08%,5.00%,2.47%,27.30%,0.031,13.60%,9.04%
251400,10.40%,8.47%,3.05%,20.60%,0.0138,16.20%,12.30%
251500,3.77%,2.98%,4.68%,28.90%,0.0332,9.62%,15.50%
251600,2.52%,4.42%,2.73%,23.50%,0.0076,19.30%,12.60%
251700,4.00%,7.69%,1.29%,18.80%,0.0573,12.70%,11.00%
