,Associate's degree,Bachelor's degree,Graduate or professional degree,High school diploma or GED,Less than 9th grade,Some college,Some high school
200402,5.31%,9.57%,3.47%,13.9%,0.137,14.8%,6.73%
210100,3.37%,31.9%,12.5%,13.7%,0.0348,11.3%,6.89%
210400,3.91%,14.0%,3.31%,20.4%,0.1183,12.1%,5.23%
210501,4.21%,11.7%,10.1%,15.6%,0.15819999999999998,13.3%,10.3%
210502,2.5%,12.9%,7.33%,23.4%,0.0973,15.3%,5.25%
210601,4.25%,17.1%,6.81%,14.7%,0.1528,11.2%,5.99%
210602,4.86%,15.2%,13.0%,19.6%,0.056900000000000006,11.3%,4.3%
210700,7.06%,18.8%,11.4%,17.8%,0.0718,8.17%,7.73%
210800,2.54%,22.1%,12.6%,16.0%,0.09119999999999999,10.1%,3.07%
210900,4.66%,29.7%,11.4%,17.2%,0.0471,6.8%,2.51%
220300,3.57%,35.8%,19.8%,7.59%,0.04009999999999999,12.3%,0.96%
220400,2.01%,32.5%,18.5%,12.2%,0.0151,11.0%,2.46%
220500,2.44%,40.3%,22.0%,9.37%,0.0009,5.93%,1.59%
220601,7.74%,26.3%,17.0%,13.6%,0.0182,12.9%,4.65%
220602,2.39%,29.3%,11.4%,14.8%,0.0233,12.0%,4.49%
220701,4.24%,19.3%,9.08%,28.0%,0.049699999999999994,10.9%,4.66%
220702,6.91%,15.9%,5.01%,19.1%,0.14429999999999998,8.13%,4.96%
220901,6.27%,12.4%,2.68%,20.7%,0.1108,16.0%,5.04%
220902,3.72%,8.57%,5.98%,27.8%,0.048,14.2%,7.76%
221000,7.15%,22.0%,11.6%,19.7%,0.0781,12.1%,2.5%
221100,2.84%,23.0%,9.86%,15.7%,0.0443,11.6%,3.43%
221200,6.43%,29.9%,19.8%,13.3%,0.0085,5.91%,3.56%
221300,2.92%,29.4%,15.7%,6.92%,0.0753,12.9%,2.72%
221400,5.47%,31.8%,16.1%,13.6%,0.032600000000000004,10.6%,3.01%
221500,9.42%,31.5%,14.0%,9.17%,0.06470000000000001,8.71%,1.22%
221600,4.83%,39.0%,31.8%,6.0%,0.0024,4.34%,0.0%
222200,1.49%,44.8%,32.0%,3.04%,0.0074,5.95%,0.11%
222500,4.29%,21.5%,10.5%,22.7%,0.0644,7.63%,3.71%
222600,8.2%,34.0%,12.8%,8.52%,0.0379,14.1%,5.11%
222700,5.0%,20.4%,8.3%,23.5%,0.043000000000000003,11.4%,6.15%
222800,8.16%,17.3%,7.01%,26.3%,0.0859,4.01%,5.87%
222900,10.9%,4.8%,5.07%,21.8%,0.0706,10.7%,1.41%
230100,3.77%,19.1%,7.93%,19.9%,0.04,17.3%,6.77%
230200,5.42%,9.88%,1.1%,21.3%,0.0865,15.8%,12.5%
230300,4.15%,9.34%,3.68%,23.4%,0.18680000000000002,13.2%,7.51%
230400,3.14%,9.44%,4.05%,16.9%,0.13720000000000002,15.6%,7.47%
230500,5.4%,7.19%,0.63%,20.6%,0.1692,10.2%,12.3%
230600,5.36%,5.87%,2.06%,25.1%,0.1099,11.8%,8.51%
230700,3.56%,6.47%,2.99%,27.9%,0.09920000000000001,11.1%,12.5%
230800,4.36%,6.24%,5.95%,19.6%,0.0644,18.3%,6.44%
230900,4.33%,17.2%,7.37%,22.2%,0.0589,16.2%,4.79%
231100,1.81%,4.36%,4.25%,27.7%,0.046799999999999994,16.1%,8.82%
231200,4.32%,6.59%,1.57%,13.1%,0.13069999999999998,16.7%,12.3%
231500,4.4%,1.95%,1.27%,24.6%,0.053,18.2%,11.5%
240200,0.87%,48.6%,22.0%,9.05%,0.0175,4.3%,0.29%
240300,3.32%,42.4%,30.0%,4.36%,0.0146,4.85%,0.68%
240500,1.8%,46.8%,38.4%,4.0%,0.0,3.1%,0.0%
240600,3.96%,30.2%,22.6%,14.9%,0.0364,4.27%,1.01%
240700,7.24%,23.9%,17.6%,13.4%,0.0475,6.54%,3.98%
240800,4.18%,19.0%,12.4%,16.1%,0.0369,16.9%,9.16%
240900,7.35%,19.4%,17.3%,11.5%,0.040299999999999996,15.2%,3.9%
241000,6.12%,23.6%,11.9%,9.05%,0.0527,12.4%,4.97%
241100,4.73%,38.2%,11.5%,16.0%,0.018099999999999998,11.0%,1.44%
241200,4.77%,33.6%,23.4%,3.27%,0.0259,7.12%,1.18%
241300,2.16%,39.2%,25.7%,7.13%,0.0124,4.84%,0.87%
241400,1.93%,46.4%,24.7%,2.61%,0.0087,6.45%,0.88%
241500,2.03%,48.6%,30.9%,4.38%,0.0226,6.9%,0.08%
241600,2.8%,41.9%,20.1%,3.96%,0.0452,7.78%,1.63%
242000,2.35%,33.8%,13.4%,6.49%,0.0576,12.6%,4.64%
242100,1.91%,45.1%,25.3%,8.32%,0.0176,3.94%,0.78%
242200,1.89%,37.0%,33.7%,4.13%,0.0,6.53%,1.45%
242300,2.76%,49.1%,23.2%,6.22%,0.017599999999999998,7.16%,0.04%
242400,4.26%,32.6%,22.5%,5.23%,0.0259,12.1%,0.67%
242500,3.03%,34.2%,15.9%,7.06%,0.050300000000000004,13.2%,2.5%
242600,3.46%,30.1%,14.8%,13.5%,0.036899999999999995,13.3%,4.32%
242700,3.65%,25.5%,9.17%,16.1%,0.0343,19.0%,4.77%
242800,7.5%,20.9%,21.9%,14.3%,0.015,13.4%,1.67%
242900,5.21%,30.9%,20.9%,14.0%,0.0362,12.4%,1.45%
243000,6.97%,24.5%,19.6%,12.0%,0.0658,11.7%,2.92%
243100,0.72%,36.0%,20.2%,7.48%,0.0844,8.0%,3.16%
243200,1.25%,43.7%,17.5%,7.64%,0.0109,11.3%,2.83%
243300,2.14%,35.3%,20.5%,12.7%,0.0366,9.95%,1.52%
243400,3.15%,29.8%,28.4%,7.38%,0.016800000000000002,12.3%,4.23%
243500,2.46%,42.0%,27.9%,6.38%,0.0,9.62%,1.09%
250200,5.31%,5.73%,4.25%,25.4%,0.09809999999999999,10.1%,10.5%
250300,2.75%,12.4%,3.49%,24.4%,0.040999999999999995,13.0%,10.1%
250400,4.19%,6.63%,2.47%,19.3%,0.0408,27.0%,5.59%
250500,4.93%,16.7%,15.1%,17.6%,0.0225,14.8%,3.77%
250600,5.73%,5.59%,4.99%,24.0%,0.0332,16.6%,6.71%
250700,10.2%,5.9%,2.76%,28.4%,0.018099999999999998,21.2%,5.01%
250800,6.77%,3.29%,3.11%,31.2%,0.039400000000000004,15.5%,5.12%
251000,1.79%,1.63%,5.2%,36.0%,0.0,14.9%,3.87%
251100,2.62%,3.84%,1.08%,28.5%,0.0252,14.1%,9.41%
251200,4.14%,6.12%,2.16%,23.4%,0.0279,15.6%,10.1%
251300,3.08%,5.0%,2.47%,27.3%,0.031,13.6%,9.04%
251400,10.4%,8.47%,3.05%,20.6%,0.0138,16.2%,12.3%
251500,3.77%,2.98%,4.68%,28.9%,0.0332,9.62%,15.5%
251600,2.52%,4.42%,2.73%,23.5%,0.0076,19.3%,12.6%
251700,4.0%,7.69%,1.29%,18.8%,0.0573,12.7%,11.0%
251800,4.13%,3.74%,0.99%,26.6%,0.0332,15.3%,11.5%
251900,8.89%,3.52%,1.15%,20.1%,0.036699999999999997,20.9%,11.0%
252000,6.79%,4.92%,2.69%,29.4%,0.0402,16.6%,7.0%
252101,7.15%,10.1%,3.52%,22.9%,0.018000000000000002,14.7%,5.88%
252102,10.5%,7.85%,2.27%,27.9%,0.0074,9.81%,7.78%
252201,4.22%,6.54%,2.44%,16.0%,0.007299999999999999,15.5%,12.0%
252202,5.03%,4.62%,3.12%,18.6%,0.0228,15.6%,16.3%
260100,3.22%,6.45%,0.75%,30.2%,0.0107,14.3%,11.2%
260200,7.32%,2.04%,0.48%,18.1%,0.0072,23.8%,9.38%
260300,3.83%,3.21%,0.0%,27.4%,0.0,21.5%,10.5%
260400,3.13%,0.6%,0.0%,21.4%,0.0168,19.6%,16.0%
260500,4.64%,2.98%,0.79%,23.6%,0.022699999999999998,17.1%,20.3%
260600,1.9%,0.48%,0.48%,23.3%,0.0143,20.8%,14.6%
260700,5.25%,2.49%,1.85%,20.1%,0.011,18.7%,14.9%
260800,7.56%,1.74%,2.45%,29.1%,0.0,9.79%,17.5%
260900,0.33%,1.85%,0.0%,23.9%,0.0239,23.0%,18.4%
261000,4.46%,5.11%,0.52%,21.4%,0.0273,15.7%,11.0%
270500,1.95%,3.81%,4.49%,16.0%,0.0653,22.0%,13.2%
271200,7.51%,3.8%,0.11%,26.5%,0.0349,16.9%,16.9%
271300,3.79%,6.31%,3.23%,26.1%,0.0154,17.3%,10.5%
271400,5.92%,11.4%,3.13%,16.6%,0.0187,18.6%,13.3%
271500,7.11%,6.92%,2.4%,26.5%,0.0194,19.7%,6.01%
271800,1.25%,4.76%,2.48%,42.9%,0.0,5.17%,4.97%
280100,1.59%,39.9%,37.9%,2.36%,0.0,3.82%,0.0%
280400,5.3%,10.4%,7.8%,30.1%,0.014,21.9%,10.2%
280800,5.36%,9.44%,3.45%,16.4%,0.0115,22.6%,9.94%
280900,4.47%,10.2%,7.24%,15.4%,0.0216,23.1%,12.3%
281900,0.6%,34.8%,37.6%,4.01%,0.0072,1.14%,0.0%
282700,3.05%,19.5%,13.6%,14.5%,0.0223,13.0%,5.46%
282800,2.51%,23.2%,19.4%,6.02%,0.0294,12.8%,0.36%
283100,3.05%,20.9%,25.0%,4.87%,0.008400000000000001,3.98%,0.0%
