geoid,name,B01003001,"B01003001, Error"
14000US17031210800,"Census Tract 2108, Cook, IL",1081,134
14000US17031210900,"Census Tract 2109, Cook, IL",2952,376
14000US17031220300,"Census Tract 2203, Cook, IL",2177,186
14000US17031220400,"Census Tract 2204, Cook, IL",2569,340
14000US17031220500,"Census Tract 2205, Cook, IL",2552,218
14000US17031220601,"Census Tract 2206.01, Cook, IL",1893,239
14000US17031220602,"Census Tract 2206.02, Cook, IL",5164,545
14000US17031220701,"Census Tract 2207.01, Cook, IL",3337,528
14000US17031220702,"Census Tract 2207.02, Cook, IL",3853,498
14000US17031220901,"Census Tract 2209.01, Cook, IL",2965,413
14000US17031220902,"Census Tract 2209.02, Cook, IL",2943,321
14000US17031221000,"Census Tract 2210, Cook, IL",2962,248
14000US17031221100,"Census Tract 2211, Cook, IL",5296,502
14000US17031221200,"Census Tract 2212, Cook, IL",3249,335
14000US17031221300,"Census Tract 2213, Cook, IL",2803,320
14000US17031221400,"Census Tract 2214, Cook, IL",3067,328
14000US17031221500,"Census Tract 2215, Cook, IL",2783,326
14000US17031221600,"Census Tract 2216, Cook, IL",3025,268
14000US17031222200,"Census Tract 2222, Cook, IL",2123,125
14000US17031222500,"Census Tract 2225, Cook, IL",1622,188
14000US17031222600,"Census Tract 2226, Cook, IL",1517,150
14000US17031222700,"Census Tract 2227, Cook, IL",2692,348
14000US17031222800,"Census Tract 2228, Cook, IL",972,145
14000US17031222900,"Census Tract 2229, Cook, IL",926,168
14000US17031230100,"Census Tract 2301, Cook, IL",1753,302
14000US17031230200,"Census Tract 2302, Cook, IL",2131,334
14000US17031230300,"Census Tract 2303, Cook, IL",1033,165
14000US17031230400,"Census Tract 2304, Cook, IL",2371,388
14000US17031230500,"Census Tract 2305, Cook, IL",3729,593
14000US17031230600,"Census Tract 2306, Cook, IL",6606,748
14000US17031230700,"Census Tract 2307, Cook, IL",5677,577
14000US17031230800,"Census Tract 2308, Cook, IL",1359,200
14000US17031230900,"Census Tract 2309, Cook, IL",5330,564
14000US17031231100,"Census Tract 2311, Cook, IL",1348,258
14000US17031231200,"Census Tract 2312, Cook, IL",6138,647
14000US17031231500,"Census Tract 2315, Cook, IL",6699,1229
14000US17031240200,"Census Tract 2402, Cook, IL",1592,143
14000US17031240300,"Census Tract 2403, Cook, IL",1251,125
14000US17031240500,"Census Tract 2405, Cook, IL",2294,196
14000US17031240600,"Census Tract 2406, Cook, IL",1644,195
14000US17031240700,"Census Tract 2407, Cook, IL",1652,172
14000US17031240800,"Census Tract 2408, Cook, IL",1587,220
14000US17031240900,"Census Tract 2409, Cook, IL",1015,168
14000US17031241000,"Census Tract 2410, Cook, IL",2220,281
14000US17031241100,"Census Tract 2411, Cook, IL",3904,410
14000US17031241200,"Census Tract 2412, Cook, IL",1862,184
14000US17031241300,"Census Tract 2413, Cook, IL",2031,169
14000US17031241400,"Census Tract 2414, Cook, IL",5089,450
14000US17031241500,"Census Tract 2415, Cook, IL",2911,322
14000US17031241600,"Census Tract 2416, Cook, IL",3526,296
14000US17031242000,"Census Tract 2420, Cook, IL",5156,764
14000US17031242100,"Census Tract 2421, Cook, IL",3803,388
14000US17031242200,"Census Tract 2422, Cook, IL",3373,323
14000US17031242300,"Census Tract 2423, Cook, IL",3034,290
14000US17031242400,"Census Tract 2424, Cook, IL",2866,274
14000US17031242500,"Census Tract 2425, Cook, IL",3609,326
14000US17031242600,"Census Tract 2426, Cook, IL",5959,770
14000US17031242700,"Census Tract 2427, Cook, IL",1627,188
14000US17031242800,"Census Tract 2428, Cook, IL",1551,193
14000US17031242900,"Census Tract 2429, Cook, IL",1601,202
14000US17031243000,"Census Tract 2430, Cook, IL",2273,250
14000US17031243100,"Census Tract 2431, Cook, IL",2259,265
